dataset_name,PF1_test_1cpu,PF2_test_1cpu,PF1_train_1cpu,PF2_train_1cpu,PF1_test_31cpu,PF2_test_31cpu,PF1_train_31cpu,PF2_train_31cpu
PigAirwayPressure,4127.57360355,1446.681040828,1908.385968673,1657.524919031,327.5939364,126.263440414,88.60488848,83.871772554
PigArtPressure,1619.172312916,2440.889226151,2131.095768182,1346.630948505,296.099259349,247.222000323,125.878087759,85.121078746
PigCVP,3978.244822467,3609.189472087,2826.538200475,2072.353420436,417.415035612,315.147723398,143.26456587,116.321424494
Plane,1.06158405,0.891946629,2.814493641,2.554673455,0.361826907,0.318430983,0.163860031,0.169049455
PowerCons,3.005336487,2.667612095,14.494894313,10.639060776,0.558303224,0.533507444,0.83516426,0.726946909
ProximalPhalanxOutlineAgeGroup,0.939950656,1.035103745,7.031972637,8.02405641,0.579244543,0.614150374,0.502050385,0.625046061
ProximalPhalanxOutlineCorrect,1.67270569,1.975915283,15.143314166,16.525274262,0.851606477,0.82004217,1.017819122,1.262972883
ProximalPhalanxTW,0.882222201,1.133037662,9.092113129,8.972748514,0.602522359,0.586294792,0.507367829,0.592598617
RefrigerationDevices,248.718496545,167.739893226,894.368348855,713.960831598,20.278954951,15.248890675,37.405409323,31.29128824
Rock,238.356202399,127.575787251,318.443124134,142.946626587,18.441843877,11.875859492,14.065808568,6.977920985
ScreenType,259.621751938,182.281269433,970.274549936,708.268661822,20.080967646,17.153307343,41.185548003,32.304482292
SemgHandGenderCh2,1764.30359218,1067.928721882,3879.168414955,2599.835845914,141.633628622,88.510581534,162.190347304,102.413752017
SemgHandMovementCh2,1534.156323959,1031.379574112,6038.5030336,4312.58812626,141.675180674,89.949176427,284.312328524,174.550393811
SemgHandSubjectCh2,1151.516059039,871.178445362,5403.807684362,3953.003666466,116.542347858,74.735132171,239.233338792,181.753196279
ShapeletSim,37.3662198,32.777632226,13.54516042,10.874295821,3.729043678,2.358095803,0.941487683,0.680503611
ShapesAll,703.246298713,671.251287012,1345.709192864,1273.567528099,61.873775702,57.412560597,55.820945772,56.757701653
SmallKitchenAppliances,222.129481643,195.384552191,752.70424727,616.939210489,17.230185673,16.126876516,33.478361844,26.175196315
SmoothSubspace,0.21234425,0.184713055,0.534300853,0.473317133,0.428209416,0.402519284,0.042493174,0.023093159
SonyAIBORobotSurface1,1.983385628,2.006389753,0.322112678,0.315952667,1.837965659,1.603743623,0.019526874,0.020884883
SonyAIBORobotSurface2,3.119951326,2.764000996,0.440337086,0.395800274,2.973421511,2.599226103,0.026145219,0.022660498
StarLightCurves,4745.116162112,4306.166448515,2591.16336225,1884.250460829,502.20716936,365.942323103,120.116056113,81.750378997
Strawberry,11.176690751,13.079810195,79.175760056,97.446940055,1.781711203,1.713368901,4.248997993,4.765832286
SwedishLeaf,12.544176968,12.045765745,35.650878925,33.62120548,2.21411488,2.31855801,2.30521033,2.144124688
Symbols,97.50953848,52.543743808,3.483144907,2.578943787,9.971872415,7.825396257,0.214613501,0.149478336
SyntheticControl,1.344532696,1.114502783,5.646652598,5.037629965,0.843291649,0.875760376,0.277741961,0.345897505
ToeSegmentation1,20.047066398,15.352316551,15.053764619,8.498999188,1.823128366,1.454502663,0.692153489,0.540107608
ToeSegmentation2,15.159001573,10.532342982,11.180955532,8.143208287,1.401806938,0.978257027,0.718451887,0.501712771
Trace,2.599077725,3.201455792,7.324764968,8.274717666,0.418885087,0.471451501,0.511248997,0.567505203
TwoLeadECG,5.485661213,3.576014327,0.382433659,0.32553634,3.584719506,3.029375492,0.024382519,0.018970167
TwoPatterns,70.835031916,108.998398099,62.2824606,66.686579709,14.918881803,14.977420122,3.684108843,3.545975968
UMD,1.474347129,2.063927496,2.193360004,2.332094759,0.456711251,0.402704403,0.123916753,0.103469984
UWaveGestureLibraryAll,3123.223968426,2036.389160952,3956.839627118,2674.92708853,289.29306038,225.230281601,190.012872726,123.709857
UWaveGestureLibraryX,430.410862391,383.795683604,507.827353099,366.080027646,46.869095154,39.540553313,24.126370389,16.492301448
UWaveGestureLibraryY,376.384135201,329.607144388,460.894922672,378.744569262,41.387866732,38.378541463,22.213784895,16.58736585
UWaveGestureLibraryZ,397.098316765,387.537240741,506.234917646,390.97427336,44.094449262,39.260312591,21.0375346,16.299072317
Wafer,68.869599589,70.623081232,53.992023935,59.914591647,22.809183397,21.111362568,3.421374049,2.863902941
Wine,0.428067017,0.892123523,2.854412857,5.064827378,0.172111162,0.172053695,0.158904965,0.309315327
WordSynonyms,95.949329105,96.502913888,120.949376846,121.214470743,9.976689331,9.255569013,6.404100502,5.932088883
Worms,108.389076914,68.662406729,709.303646133,540.664490113,8.392129277,6.023876522,29.430197874,22.05762064
WormsTwoClass,80.867564227,61.752066577,735.303287202,562.47416554,6.263265072,4.787782471,32.927152912,23.085114338
Yoga,538.070647392,402.902286739,258.657182239,189.532648297,48.549011174,40.096644139,10.985531608,10.000529517
